"{""en"": ""<p>&nbsp; &nbsp; The Earth is a common heritage, which is indivisible and equally belongs to all living people;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Планета Земля является общим достоянием, неделимой и в равной степени принадлежит всем живущим людям;</p>""}",1,1,0,2019-01-04 20:56:49,2019-01-04 21:22:51
"{""en"": ""<p>&nbsp; &nbsp; A person, his life and health, honor and dignity, inviolability and security are recognized as the highest social value on the Earth;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Человек, его жизнь и здоровье, честь и достоинство, неприкосновенность и безопасность признаются на планете Земля наивысшей социальной ценностью;</p>""}",1,2,0,2019-01-04 21:39:05,2019-01-04 21:39:05
"{""en"": ""<p>&nbsp; &nbsp; On the Earth everyone can have the only citizenship. Anyone under any circumstances cannot be deprived of this citizenship. From the moment of birth to the moment of death any person has the status of a Citizen of the Earth;</p>"", ""ru"": ""<p>&nbsp; &nbsp; На планете Земля существует единое гражданство. Никто и не при каких обстоятельствах не может быть лишен настоящего гражданства. С момента рождения и до момента смерти любой человек обладает статусом Гражданина Планеты Земля;</p>""}",1,3,0,2019-01-04 21:39:52,2019-01-04 21:39:52
"{""en"": ""<p>&nbsp; &nbsp; The power of the Citizens of the Earth is based on a decentralized management system of humanity, which is a manifestation of higher degree of equality and genuine democracy. All power on the Earth belongs to its Citizens. Since the age of majority every Citizen equally bears the responsibility and conducts the legislative, executive and judicial power. A Citizen shall exercise power directly and personally through the Internet system by open vote, using approved programs with the open source software;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Власть Граждан Планеты Земля основывается на децентрализованной системе управления человечеством, является вышей степенью проявления равенства и истинной демократии. Вся полнота власти на Планете Земля принадлежит её Гражданам. С момента совершеннолетия каждый Гражданин в равной степени возлагает на себя ответственность и становится правообладателем законодательной, исполнительной и судебной власти. Гражданин осуществляет власть лично и непосредственно через систему интернет с использованием утвержденных программ с открытым исходным кодом путем открытого голосования;</p>""}",1,4,0,2019-01-04 21:40:42,2019-01-04 21:40:42
"{""en"": ""<p>&nbsp; &nbsp; The Earth, its resources, air, water and other natural resources, equally stated to be the property of all Citizens of the world and should be used economically, efficiently and for the benefit of all Citizens and future generations, taking into account the minimum negative consequences for the ecosystem of the planet;&nbsp;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Планета Земля, ее недра, атмосферный воздух, водные и иные природные ресурсы являются в равной степени объектами права собственности всех Граждан планеты и должны использоваться максимально экономно, рационально, во благо всех Граждан и будущих поколений, с учетом минимальных отрицательных последствий для экосистемы планеты;</p>""}",1,5,0,2019-01-04 21:41:34,2019-01-04 21:41:34
"{""en"": ""<p>&nbsp; &nbsp; The basis of the economic system on the Earth is a source-based economy, as the most effective and contributive to the development of human civilization, scientific and technological progress, preservation and management of the natural resources and minerals of the planet. It contributes to the conservation, augmentation and evolutionary development of flora and fauna of its biological diversity, and the development of an ecosystem of the Earth as a whole;</p>"", ""ru"": ""<p>&nbsp; &nbsp; За основу экономического строя на Планете Земля принимается ресурсо-ориентированная экономика, как наиболее эффективная и способствующая развитию человеческой цивилизации, научно-техническому прогрессу, сохранению и рациональному использованию природных ресурсов и полезных ископаемых Планеты Земля. А также способствующая сохранению, приумножению и эволюционному развитию флоры и фауны, её биологическому разнообразию и развитию экосистемы Планеты Земля в целом;</p>""}",1,6,0,2019-01-04 21:42:38,2019-01-04 21:42:38
"{""en"": ""<p>&nbsp; &nbsp; In order to simplify the trade flow with a view to monitoring and restoration of the natural resources on the Earth &ndash; there introduced the unified resource equivalent - enebra. Emission and calculation of enebra and its compliance with the number of actual resources of the planet is made automatically on the basis of constantly updated data and software with the open source law approved by the Citizens of the Earth in the following manner and under this Constitution;&nbsp;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Для упрощения товарообмена, с целью контроля расхода и восстановления природных ресурсов на Планете Земля, вводится единый ресурсный эквивалент - &laquo;энебра&raquo;. Эмиссия, расчет соответствия энебра и количество реальных ресурсов планеты производится автоматически на основании постоянно обновляющихся данных и программного обеспечения с открытым исходным кодом, законодательно утверждённым гражданами Планеты Земля в порядке и соответствии с данной Конституцией;</p>""}",1,7,0,2019-01-04 21:43:31,2019-01-04 21:43:31
"{""en"": ""<p>&nbsp; &nbsp; Every Citizen has an unimpeded access to the open source code by which the emissions of enebra produced, knows the data on the number of all issued enebra and has a full list of transactions and their sequence performed on using enebra. Enebra cannot be given to credit or debt, transferred to someone as a gift or inheritance;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Каждый Гражданин имеет беспрепятственный доступ к открытому исходному коду, при помощи которого производится эмиссия энебра, обладает данными о количестве всех выпущенных энебра и имеет полный перечень транзакций и их последовательность, выполненных с использованием энебра. Ресурсный эквивалент Энебра не может быть отдан в кредит или в долг, передан кому-либо в качестве подарка или наследства;</p>""}",1,8,1,2019-01-04 21:44:32,2019-01-04 21:44:32
"{""en"": ""<p>&nbsp; &nbsp; The Earth and its orbit are declared the area of a stable world. On the Earth we prohibit the development, testing, storage and use of weapons of mass destruction in all its forms. It concerns with any kind of weapons - underground, ground-based, air, water, underwater, tropospheric, space &ndash; the one of a defensive or offensive action, including the ammunition designed for military operations;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Планета Земля и её орбита объявлены территорией устойчивого мира. На Планете Земля запрещается разработка, испытания, хранение и использование оружия массового поражения во всех его видах. Подземного, наземного, воздушного, наводного, подводного, тропосферного, космического - любого оружия оборонительного или наступательного действия и боеприпасов к нему, предназначенного для ведения военных действий;&nbsp;</p>""}",1,9,1,2019-01-04 21:45:17,2019-01-04 21:45:17
"{""en"": ""<p>&nbsp; &nbsp; A comprehensive identification and authentication of a Citizen is a complex of his biometric characteristics obtained and stored in accordance with the accepted standards and the list of approved hardware;</p>"", ""ru"": ""<p>&nbsp; &nbsp; Исчерпывающей идентификацией и аутентификацией Гражданина является комплекс его биометрических характеристик, полученных и сохраняемых согласно принятых стандартов и перечня утверждённых технических средств;</p>""}",1,10,1,2019-01-04 21:46:10,2019-01-04 21:46:10
